songname,artistname,year,decade,position,win,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
You'll See,Madonna,1996,90,51,0,0.479,0.602,0.545,0.000214,0.0975,-9.972,0.0311,89.786,0.235
Last Night,Az Yet,1996,90,52,0,0.428,0.555,0.543,0,0.105,-8.874,0.0272,164.021,0.359
Mouth,Merril Bainbridge,1996,90,53,0,0.702,0.695,0.499,0.0000585,0.154,-9.201,0.218,175.896,0.78
"The Earth, the Sun, the Rain",Color Me Badd,1996,90,54,0,0.63,0.29,0.515,0,0.084,-9.42,0.0865,77.213,0.28
All the Things (Your Man Won't Do),Joe,1996,90,55,0,0.247,0.573,0.679,0,0.321,-6.774,0.0423,66.215,0.648
Wonderwall,Oasis,1996,90,56,0,0.000509,0.375,0.893,0,0.187,-4.097,0.0406,174.323,0.434
Everything Remains Raw,Busta Rhymes,1996,90,57,0,0.0955,0.759,0.809,0.00000171,0.35,-7.886,0.293,86.848,0.508
Tell Me,Groove Theory,1996,90,58,0,0.035,0.8,0.362,0.00000399,0.0667,-10.849,0.0634,93.059,0.888
Elevators (Me & You),Outkast,1996,90,59,0,0.0234,0.772,0.586,0.000722,0.0562,-10.434,0.301,85.068,0.643
Hook,Blues Traveler,1996,90,60,0,0.0369,0.562,0.742,0.00000147,0.102,-6.355,0.0346,165.6,0.793
Doin' It,LL Cool J,1996,90,61,0,0.365,0.801,0.55,0.0234,0.117,-11.044,0.209,94.994,0.609
Fastlove,George Michael,1996,90,62,0,0.052,0.735,0.64,0.00102,0.345,-7.522,0.072,104.444,0.551
"Touch Me, Tease Me",Case,1996,90,63,0,0.28,0.653,0.746,0.00000549,0.0944,-8.254,0.0595,87.611,0.492
Tonite's tha Night,Kris Kross,1996,90,64,0,0.0231,0.743,0.523,0.0309,0.0701,-5.456,0.103,90.974,0.789
Children,Robert Miles,1996,90,65,0,0.000298,0.604,0.755,0.817,0.0625,-10.761,0.0337,137.064,0.387
Closer to Free,BoDeans,1996,90,67,0,0.000627,0.497,0.943,0.000698,0.731,-4.792,0.0412,98.155,0.702
Just a Girl,No Doubt,1996,90,68,0,0.0662,0.638,0.906,0.0000688,0.142,-4.824,0.0504,107.991,0.767
If Your Girl Only Knew,Aaliyah,1996,90,69,0,0.137,0.841,0.741,0.000445,0.11,-3.487,0.0359,88.408,0.834
Lady,D'Angelo,1996,90,70,0,0.14,0.815,0.364,0.0255,0.121,-11.834,0.089,84.898,0.723
Key West Intermezzo (I Saw You First),John Mellencamp,1996,90,71,0,0.005,0.673,0.858,0.0000192,0.274,-6.511,0.027,116.477,0.959
Pony,Ginuwine,1996,90,72,0,0.00186,0.749,0.605,0.0381,0.115,-9.359,0.086,142.024,0.966
Nobody,Keith Sweat,1996,90,73,0,0.484,0.699,0.492,0,0.0482,-9.449,0.0318,117.907,0.388
Old Man & Me (When I Get to Heaven),Hootie & the Blowfish,1996,90,74,0,0.929,0.606,0.136,0.896,0.123,-16.574,0.0653,106.753,0.622
If It Makes You Happy,Sheryl Crow,1996,90,75,0,0.0482,0.543,0.681,0.0000843,0.104,-7.091,0.0289,95.415,0.292
As I Lay Me Down,Sophie B. Hawkins,1996,90,76,0,0.645,0.519,0.737,0.00000177,0.271,-8.7,0.0437,82.999,0.668
"Keep On, Keepin' On",MC Lyte,1996,90,77,0,0.24,0.875,0.63,0.00011,0.0742,-6.015,0.114,91.043,0.733
Jealousy,Natalie Merchant,1996,90,78,0,0.296,0.723,0.521,0.0406,0.0998,-9.78,0.028,101.127,0.61
I Want to Come Over,Melissa Etheridge,1996,90,79,0,0.0631,0.537,0.488,0.00295,0.108,-9.874,0.0316,113.796,0.538
Who Do U Love,Deborah Cox,1996,90,80,0,0.163,0.69,0.888,0.0000225,0.659,-5.781,0.186,87.918,0.686
Un-Break My Heart,Toni Braxton,1996,90,81,0,0.412,0.625,0.426,0,0.116,-8.4,0.0271,110.021,0.112
This Is Your Night,Amber,1996,90,82,0,0.0714,0.674,0.908,0.000104,0.121,-3.262,0.0325,127.985,0.861
You Remind Me of Something,R. Kelly,1996,90,83,0,0.591,0.631,0.536,0,0.108,-7.194,0.0586,59.999,0.829
Runaway,Janet Jackson,1996,90,84,0,0.364,0.787,0.86,0.041,0.0612,-4.974,0.0344,109.154,0.862
Set U Free,Planet Soul,1996,90,85,0,0.101,0.636,0.645,0.0000164,0.0686,-11.64,0.0873,128.43,0.711
Hit Me Off,New Edition,1996,90,86,0,0.185,0.72,0.719,0.000128,0.522,-4.571,0.0882,88.987,0.899
No One Else,Total,1996,90,87,0,0.185,0.782,0.515,0.0000134,0.0577,-8.215,0.3,182.19,0.791
My Boo,Ghost Town DJ's,1996,90,88,0,0.000131,0.885,0.477,0.000664,0.336,-9.196,0.0664,130.078,0.691
Get Money,Junior M.A.F.I.A.,1996,90,89,0,0.477,0.736,0.828,0,0.251,-5.835,0.284,91.224,0.899
That Girl,Maxi Priest,1996,90,90,0,0.059,0.68,0.685,0,0.318,-7.343,0.142,138.716,0.619
Po Pimp,Do or Die,1996,90,91,0,0.0623,0.81,0.428,0,0.116,-14.248,0.272,142.075,0.649
Until It Sleeps,Metallica,1996,90,92,0,0.000223,0.562,0.919,0.113,0.142,-4.458,0.0293,113.357,0.728
Hay,Crucial Conflict,1996,90,93,0,0.0302,0.749,0.733,0,0.151,-9.163,0.0611,139.935,0.897
Beautiful Life,Ace of Base,1996,90,94,0,0.202,0.749,0.988,0.00631,0.17,-5.266,0.0387,135.015,0.749
Back for Good,Take That,1996,90,95,0,0.31,0.601,0.504,0,0.137,-9.761,0.0284,78.986,0.564
The Long Road,Pearl Jam,1996,90,96,0,0.201,0.544,0.441,0.65,0.0995,-11.321,0.028,101.732,0.0764
Soon as I Get Home,Faith Evans,1996,90,97,0,0.519,0.652,0.498,0,0.149,-6.2,0.0413,120.141,0.336
Macarena,Los del Río,1996,90,98,0,0.422,0.927,0.721,0.0000436,0.0422,-12.561,0.0908,103.018,0.965
Only Wanna Be with You,Hootie & the Blowfish,1996,90,99,0,0.107,0.49,0.873,0.00000519,0.118,-5.861,0.0355,103.272,0.513
Don't Cry,Seal,1996,90,100,0,0.726,0.282,0.421,0.0000909,0.33,-8.112,0.0306,92.546,0.153
Because You Loved Me,Celine Dion,1996,90,101,1,0.314,0.615,0.467,0,0.099,-9.883,0.0327,119.919,0.177
Candle in the Wind 1997,Elton John,1997,90,1,0,0.977,0.45,0.311,0.00713,0.167,-8.175,0.0314,125.648,0.367
You Were Meant for Me,Jewel,1997,90,2,0,0.791,0.582,0.33,0.00000148,0.105,-7.928,0.0347,111.873,0.407
I'll Be Missing You,Puff Daddy and Faith Evans,1997,90,3,0,0.0523,0.862,0.479,0.00126,0.589,-9.199,0.0645,109.877,0.924
Un-Break My Heart,Toni Braxton,1997,90,4,0,0.412,0.625,0.426,0,0.116,-8.4,0.0271,110.021,0.112
Can't Nobody Hold Me Down,Puff Daddy,1997,90,5,0,0.0725,0.928,0.771,0.00223,0.338,-5.935,0.218,93.987,0.679
I Believe I Can Fly,R. Kelly,1997,90,6,1,0.151,0.572,0.538,0,0.0754,-5.241,0.0279,120.455,0.0584
Don't Let Go (Love),En Vogue,1997,90,7,0,0.409,0.618,0.688,0.00000632,0.3,-5.867,0.0477,78.311,0.561
Return of the Mack,Mark Morrison,1997,90,8,0,0.00631,0.715,0.833,0,0.164,-5.379,0.108,95.487,0.612
How Do I Live,LeAnn Rimes,1997,90,9,0,0.128,0.577,0.462,0,0.0822,-7.989,0.0279,128.303,0.258
Wannabe,Spice Girls,1997,90,10,0,0.101,0.768,0.864,0,0.162,-6.145,0.0324,110.008,0.891
Quit Playing Games (With My Heart),Backstreet Boys,1997,90,11,0,0.0615,0.8,0.875,0.00000279,0.13,-4.952,0.0338,100.033,0.882
MMMBop,Hanson,1997,90,12,1,0.00481,0.683,0.937,0.0046,0.07,-6.335,0.0449,104.872,0.619
For You I Will,Monica,1997,90,13,0,0.243,0.652,0.473,0,0.134,-7.981,0.0313,123.208,0.368
You Make Me Wanna...,Usher,1997,90,14,0,0.0359,0.761,0.639,0,0.0945,-7.577,0.0539,164.088,0.922
Bitch,Meredith Brooks,1997,90,15,0,0.0112,0.617,0.886,0.0000963,0.0523,-5.953,0.055,96.328,0.629
Nobody,Keith Sweat,1997,90,16,0,0.484,0.699,0.492,0,0.0482,-9.449,0.0318,117.907,0.388
Semi-Charmed Life,Third Eye Blind,1997,90,17,0,0.00832,0.64,0.864,0,0.123,-6.576,0.0314,102.026,0.701
Barely Breathing,Duncan Sheik,1997,90,18,0,0.0281,0.482,0.807,0,0.177,-6.976,0.0457,187.918,0.516
Hard to Say I'm Sorry,Az Yet,1997,90,19,0,0.604,0.537,0.413,0,0.16,-9.949,0.0366,127.77,0.22
Mo Money Mo Problems,The Notorious B.I.G.,1997,90,20,0,0.0128,0.845,0.884,0.0000021,0.203,-4.506,0.0759,104.536,0.904
The Freshmen,The Verve Pipe,1997,90,21,0,0.0757,0.571,0.505,0.0000104,0.109,-9.312,0.0238,99.562,0.276
I Want You,Savage Garden,1997,90,22,0,0.0077,0.628,0.871,0.00000164,0.392,-6.44,0.0363,106.101,0.615
No Diggity,Blackstreet,1997,90,23,0,0.303,0.867,0.646,0,0.279,-4.674,0.288,88.634,0.67
I Belong to You (Every Time I See Your Face),Rome,1997,90,24,0,0.026,0.759,0.337,0,0.0753,-11.034,0.0351,117.846,0.329
Hypnotize,The Notorious B.I.G.,1997,90,25,0,0.145,0.901,0.697,0,0.287,-3.439,0.28,93.941,0.67
Every Time I Close My Eyes,Babyface,1997,90,26,0,0.0624,0.654,0.417,0,0.0963,-7.699,0.025,143.676,0.279
In My Bed,Dru Hill,1997,90,27,0,0.0376,0.873,0.59,0,0.0666,-10.046,0.151,95.066,0.809
Say You'll Be There,Spice Girls,1997,90,28,0,0.0149,0.726,0.679,0.00000149,0.0837,-6.219,0.0473,107.02,0.751
Do You Know (What It Takes),Robyn,1997,90,29,0,0.00465,0.635,0.74,0.0152,0.129,-4.439,0.0355,200.102,0.857
4 Seasons of Loneliness,Boyz II Men,1997,90,30,0,0.821,0.583,0.488,0.0000171,0.115,-10.494,0.0444,98.497,0.191
G.H.E.T.T.O.U.T.,Changing Faces,1997,90,31,0,0.391,0.71,0.312,0.00000219,0.0682,-6.918,0.0325,108.262,0.535
Honey,Mariah Carey,1997,90,32,0,0.119,0.694,0.824,0.00000715,0.152,-6.756,0.0909,95.833,0.675
I Believe in You and Me,Whitney Houston,1997,90,33,0,0.785,0.434,0.268,0,0.0881,-11.52,0.0355,119.804,0.121
Da' Dip,Freak Nasty,1997,90,34,0,0.0079,0.953,0.428,0.0302,0.224,-17.199,0.298,131.737,0.723
2 Become 1,Spice Girls,1997,90,35,0,0.326,0.646,0.665,0.0000197,0.238,-7.878,0.0268,143.966,0.7
All for You,Sister Hazel,1997,90,36,0,0.0316,0.633,0.754,0.0000227,0.091,-6.495,0.0382,137.047,0.641
Cupid,112,1997,90,37,0,0.373,0.685,0.38,0,0.0371,-11.219,0.112,175.562,0.87
Where Have All the Cowboys Gone?,Paula Cole,1997,90,38,1,0.0351,0.588,0.826,0,0.454,-6.182,0.0569,129.021,0.621
Sunny Came Home,Shawn Colvin,1997,90,39,2,0.342,0.558,0.579,0.00831,0.0989,-8.05,0.0324,167.812,0.403
It's Your Love,Tim McGraw with Faith Hill,1997,90,40,0,0.303,0.453,0.291,0.141,0.144,-13.132,0.0265,140.268,0.17
Ooh Aah... Just a Little Bit,Gina G,1997,90,41,0,0.626,0.647,0.942,0.168,0.0411,-7.101,0.0341,130.978,0.937
Mouth,Merril Bainbridge,1997,90,42,0,0.702,0.695,0.499,0.0000585,0.154,-9.201,0.218,175.896,0.78
All Cried Out,Allure,1997,90,43,0,0.176,0.613,0.464,0,0.103,-8.918,0.0241,139.802,0.176
I'm Still in Love with You,New Edition,1997,90,44,0,0.426,0.741,0.519,0,0.318,-4.683,0.0351,134.294,0.418
Invisible Man,98 Degrees,1997,90,45,0,0.202,0.694,0.552,0,0.176,-10.452,0.0278,89.904,0.573
Not Tonight,Lil' Kim,1997,90,46,0,0.0689,0.854,0.602,0,0.292,-10.162,0.32,99.429,0.592
Look into My Eyes,Bone Thugs-n-Harmony,1997,90,47,0,0.0468,0.775,0.598,0.000125,0.14,-5.898,0.0597,144.043,0.597
Get It Together,702,1997,90,48,0,0.625,0.791,0.186,0.00000267,0.0574,-11.367,0.0333,114.061,0.317
All by Myself,Céline Dion,1997,90,49,0,0.35,0.344,0.325,0.0223,0.0686,-10.005,0.0287,118.515,0.0775
It's All Coming Back to Me Now,Céline Dion,1997,90,50,0,0.753,0.384,0.438,0,0.101,-9.149,0.0362,87.903,0.287
My Love Is the Shhh!,Somethin' for the People,1997,90,51,0,0.297,0.779,0.715,0,0.157,-5.886,0.0368,126.036,0.621
Where Do You Go,No Mercy,1997,90,52,0,0.0346,0.734,0.828,0.118,0.071,-11.018,0.0318,127.06,0.964
I Finally Found Someone,Barbra Streisand and Bryan Adams,1997,90,53,0,0.726,0.626,0.183,0.836,0.118,-16.336,0.0296,138.144,0.0582
I'll Be,Foxy Brown,1997,90,54,0,0.015,0.855,0.614,0,0.307,-8.984,0.41,105.986,0.495
If It Makes You Happy,Sheryl Crow,1997,90,55,0,0.0482,0.543,0.681,0.0000843,0.104,-7.091,0.0289,95.415,0.292
Never Make a Promise,Dru Hill,1997,90,56,0,0.285,0.731,0.465,0,0.201,-8.162,0.0281,113.236,0.448
When You Love a Woman,Journey,1997,90,57,0,0.253,0.514,0.514,0,0.258,-5.82,0.0275,132.145,0.218
Up Jumps da Boogie,Magoo,1997,90,58,0,0.462,0.873,0.601,0.0000127,0.332,-9.666,0.325,75.008,0.645
I Don't Want To,Toni Braxton,1997,90,59,0,0.288,0.714,0.399,0,0.0692,-7.632,0.0274,120.08,0.292
Everyday Is a Winding Road,Sheryl Crow,1997,90,60,1,0.0419,0.629,0.673,0.0000364,0.1,-8.285,0.0406,112.955,0.717
Cold Rock a Party,MC Lyte,1997,90,61,0,0.192,0.896,0.744,0.00000119,0.108,-5.239,0.246,92.91,0.744
Pony,Ginuwine,1997,90,62,0,0.00186,0.749,0.605,0.0381,0.115,-9.359,0.086,142.024,0.966
Building a Mystery,Sarah McLachlan,1997,90,63,0,0.403,0.505,0.518,0,0.129,-8.601,0.023,81.019,0.472
I Love You Always Forever,Donna Lewis,1997,90,64,0,0.627,0.744,0.453,0.421,0.0898,-11.977,0.0348,103.773,0.122
Your Woman,White Town,1997,90,65,0,0.033,0.815,0.605,0.684,0.114,-9.118,0.0368,102.642,0.795
C U When U Get There,Coolio,1997,90,66,0,0.0102,0.76,0.585,0.000468,0.308,-7.307,0.161,91.179,0.455
Change the World,Eric Clapton,1997,90,67,0,0.492,0.721,0.558,0.00563,0.113,-8.8,0.0246,96.887,0.542
My Baby Daddy,B-Rock,1997,90,68,0,0.967,0.473,0.104,0.00000986,0.0918,-14.259,0.0352,73.732,0.494
Tubthumping,Chumbawamba,1997,90,69,0,0.106,0.263,0.871,0,0.363,-7.496,0.131,206.68,0.622
Gotham City,R. Kelly,1997,90,70,0,0.0303,0.725,0.634,0,0.296,-5.519,0.0483,135.793,0.452
Last Night,Az Yet,1997,90,71,0,0.428,0.555,0.543,0,0.105,-8.874,0.0272,164.021,0.359
Big Daddy,Heavy D,1997,90,73,0,0.113,0.756,0.521,0,0.147,-8.266,0.504,178.391,0.591
What About Us,Total,1997,90,74,0,0.0143,0.736,0.721,0,0.0451,-6.188,0.0396,96.365,0.72
Smile,Scarface,1997,90,75,0,0.0498,0.7,0.402,0.00000104,0.16,-9.93,0.278,77.871,0.499
What's on Tonight,Montell Jordan,1997,90,76,0,0.33,0.826,0.447,0.0000032,0.126,-11.535,0.0442,111.806,0.434
Secret Garden,Bruce Springsteen,1997,90,77,0,0.576,0.52,0.329,0.0418,0.12,-14.224,0.0266,86.857,0.118
The One I Gave My Heart To,Aaliyah,1997,90,78,0,0.399,0.702,0.493,0,0.112,-7.631,0.041,125.389,0.333
Fly Like an Eagle,Seal,1997,90,79,0,0.00414,0.63,0.692,0.0000426,0.0817,-8.377,0.0497,97.096,0.574
No Time,Lil' Kim,1997,90,80,0,0.256,0.627,0.814,0.00000115,0.285,-5.863,0.304,90.42,0.799
Naked Eye,Luscious Jackson,1997,90,81,0,0.0863,0.737,0.657,0.0339,0.0953,-10.962,0.0284,131.022,0.76
Macarena (Bayside Boys Mix),Los del Río,1997,90,82,0,0.0539,0.837,0.514,0.000112,0.0999,-14.883,0.116,104.076,0.676
On & On,Erykah Badu,1997,90,83,0,0.0396,0.762,0.403,0.0113,0.256,-10.423,0.158,80.476,0.346
Don't Wanna Be a Player,Joe,1997,90,84,0,0.534,0.509,0.547,0,0.0461,-5.675,0.0619,81.736,0.878
I Shot the Sheriff,Warren G,1997,90,85,0,0.0289,0.859,0.68,0.0000109,0.261,-9.213,0.159,91.444,0.753
You Should Be Mine (Don't Waste Your Time),Brian McKnight,1997,90,86,0,0.00417,0.77,0.519,0.000431,0.285,-7.594,0.035,94.774,0.65
Don't Cry for Me Argentina,Madonna,1997,90,87,0,0.898,0.323,0.149,0.0000042,0.099,-13.906,0.0339,105.033,0.0788
Someone,SWV,1997,90,88,0,0.0359,0.673,0.601,0,0.0678,-9.275,0.174,173.956,0.811
Go the Distance,Michael Bolton,1997,90,89,0,0.399,0.363,0.435,0,0.219,-8.141,0.0307,125.892,0.148
One More Time,Real McCoy,1997,90,90,0,0.000889,0.671,0.862,0.7,0.167,-11.367,0.0351,133.117,0.855
Butta Love,Next,1997,90,91,0,0.0972,0.735,0.441,0,0.0967,-8.412,0.0407,108.015,0.591
Coco Jamboo,Mr. President,1997,90,92,0,0.0791,0.832,0.838,0,0.152,-5.414,0.0421,100.021,0.965
Twisted,Keith Sweat,1997,90,93,0,0.393,0.615,0.514,0,0.248,-9.759,0.0466,175.849,0.822
Barbie Girl,Aqua,1997,90,94,0,0.0165,0.81,0.957,0.284,0.248,-6.049,0.0364,129.985,0.962
When You're Gone,The Cranberries,1997,90,95,0,0.522,0.45,0.525,0.00000243,0.254,-6.893,0.0271,187.525,0.371
Let Me Clear My Throat,DJ Kool,1997,90,96,0,0.169,0.697,0.901,0,0.356,-7.154,0.259,103.145,0.535
I Like It,The Blackout All-Stars,1997,90,97,0,0.0000155,0.763,0.844,0.418,0.114,-7.291,0.0523,128.042,0.774
You're Makin' Me High,Toni Braxton,1997,90,98,0,0.0118,0.853,0.563,0.0000212,0.119,-8.663,0.0379,92.112,0.893
You Must Love Me,Madonna,1997,90,99,0,0.927,0.357,0.161,0.0000383,0.146,-14.789,0.0436,88.724,0.267
Let It Go,Ray J,1997,90,100,0,0.00789,0.626,0.922,0.000598,0.277,-2.037,0.0714,139.987,0.554
Too Close,Next,1998,90,1,0,0.0118,0.847,0.402,0,0.283,-9.952,0.0641,99.693,0.752
The Boy Is Mine,Brandy and Monica,1998,90,2,0,0.526,0.686,0.711,0,0.111,-6.939,0.0342,93.021,0.77
You're Still the One,Shania Twain,1998,90,3,1,0.363,0.585,0.494,0,0.0886,-8.751,0.0353,133.822,0.634
Truly Madly Deeply,Savage Garden,1998,90,4,0,0.403,0.555,0.698,0,0.0851,-8.874,0.0287,168.12,0.816
How Do I Live,LeAnn Rimes,1998,90,5,0,0.128,0.577,0.462,0,0.0822,-7.989,0.0279,128.303,0.258
Together Again,Janet,1998,90,6,0,0.078,0.873,0.593,0.00697,0.104,-8.942,0.103,123.091,0.495
All My Life,K-Ci & JoJo,1998,90,7,0,0.114,0.629,0.511,0.00000391,0.0588,-8.651,0.0326,128.038,0.181
Something About the Way You Look Tonight,Elton John,1998,90,8,0,0.174,0.48,0.628,0.0000328,0.0753,-7.643,0.0262,143.412,0.541
Nice & Slow,Usher,1998,90,9,0,0.153,0.819,0.299,0,0.3,-11.964,0.122,121.913,0.515
I Don't Want to Wait,Paula Cole,1998,90,10,0,0.298,0.41,0.468,0.0000119,0.0426,-8.177,0.0553,177.508,0.475
How's It Going to Be,Third Eye Blind,1998,90,11,0,0.00327,0.561,0.593,0.00144,0.0967,-9.362,0.0264,80.282,0.574
"No, No, No",Destiny's Child,1998,90,12,0,0.3,0.67,0.582,0,0.0845,-3.574,0.224,181.841,0.675
My Heart Will Go On,Céline Dion,1998,90,13,0,0.732,0.428,0.276,0.00000533,0.117,-11.729,0.0312,99.195,0.0382
Gettin' Jiggy wit It,Will Smith,1998,90,14,0,0.0175,0.881,0.874,0.00000114,0.154,-4.505,0.139,107.891,0.858
You Make Me Wanna...,Usher,1998,90,15,0,0.0359,0.761,0.639,0,0.0945,-7.577,0.0539,164.088,0.922
My Way,Usher,1998,90,16,0,0.0105,0.815,0.521,0,0.0509,-8.178,0.136,90.079,0.887
My All,Mariah Carey,1998,90,17,0,0.732,0.607,0.317,0.0000453,0.086,-10.244,0.029,108.122,0.111
The First Night,Monica,1998,90,18,0,0.139,0.671,0.766,0,0.26,-9.218,0.0634,152.088,0.906
Been Around the World,Diddy and Notorious B.I.G. and Mase,1998,90,19,0,0.0191,0.815,0.529,0,0.406,-10.117,0.28,99.439,0.73
Adia,Sarah McLachlan,1998,90,20,0,0.722,0.526,0.37,0,0.157,-10.535,0.025,76.002,0.251
Crush,Jennifer Paige,1998,90,21,0,0.0262,0.733,0.706,0,0.0881,-5.652,0.0292,115.04,0.598
Everybody (Backstreet's Back),Backstreet Boys,1998,90,22,0,0.025,0.735,0.873,0.00000327,0.265,-3.493,0.0402,108.021,0.586
I Don't Want to Miss a Thing,Aerosmith,1998,90,23,0,0.172,0.39,0.649,0,0.216,-5.163,0.0345,121.16,0.144
Body Bumpin' (Yippie-Yi-Yo),Public Announcement,1998,90,24,0,0.182,0.779,0.423,0,0.183,-5.238,0.038,121.962,0.326
This Kiss,Faith Hill,1998,90,25,0,0.175,0.398,0.804,0,0.181,-5.559,0.0451,186.752,0.709
I Don't Ever Want to See You Again,Uncle Sam,1998,90,26,0,0.38,0.607,0.497,0,0.0681,-7.017,0.0374,125.951,0.407
Let's Ride,Montell Jordan,1998,90,27,0,0.0272,0.59,0.538,0,0.17,-5.949,0.247,121.929,0.578
Sex and Candy,Marcy Playground,1998,90,28,0,0.046,0.55,0.702,0.0000014,0.119,-5.693,0.0281,159.968,0.515
Show Me Love,Robyn,1998,90,29,0,0.0745,0.546,0.643,0,0.213,-4.069,0.0437,181.838,0.704
A Song for Mama,Boyz II Men,1998,90,30,0,0.471,0.569,0.44,0,0.143,-8.948,0.035,75.001,0.151
What You Want,Mase,1998,90,31,0,0.0312,0.838,0.72,0.0000111,0.422,-6.593,0.384,93.76,0.845
Frozen,Madonna,1998,90,32,0,0.267,0.706,0.633,0.0192,0.175,-9.584,0.0419,110.005,0.375
Gone till November,Wyclef Jean,1998,90,33,0,0.0888,0.677,0.503,0.0000148,0.182,-9.027,0.0867,85.926,0.417
My Body,LSG,1998,90,34,0,0.244,0.721,0.431,0,0.0886,-6.633,0.045,119.76,0.318
Tubthumping,Chumbawamba,1998,90,35,0,0.106,0.263,0.871,0,0.363,-7.496,0.131,206.68,0.622
Deja Vu (Uptown Baby),Lord Tariq,1998,90,36,0,0.0816,0.577,0.622,0,0.123,-7.493,0.525,193.285,0.671
I Want You Back,'N Sync,1998,90,37,0,0.0521,0.751,0.939,0.00056,0.477,-3.305,0.0466,112.041,0.905
When the Lights Go Out,Five,1998,90,38,0,0.0636,0.854,0.827,0,0.123,-6.424,0.0335,104.001,0.961
They Don't Know,Jon B.,1998,90,39,0,0.588,0.699,0.388,0.00000198,0.0658,-10.722,0.0531,125.858,0.566
Make 'Em Say Uhh!,Master P,1998,90,40,0,0.0124,0.7,0.76,0,0.154,-5.881,0.473,170.297,0.438
Make It Hot,Nicole,1998,90,41,0,0.376,0.76,0.458,0.000229,0.143,-8.834,0.19,84.08,0.581
Never Ever,All Saints,1998,90,42,0,0.559,0.738,0.541,0,0.0492,-5.485,0.0311,134.187,0.309
I Get Lonely,Janet,1998,90,43,0,0.291,0.799,0.514,0,0.518,-6.794,0.0478,125.104,0.455
Feel So Good,Mase,1998,90,44,0,0.192,0.821,0.703,0,0.0816,-8.464,0.24,105.154,0.536
Say It,Voices of Theory,1998,90,45,0,0.675,0.381,0.415,0,0.0795,-10.298,0.0691,61.908,0.257
Kiss the Rain,Billie Myers,1998,90,46,0,0.00142,0.455,0.682,0.0000496,0.162,-6.996,0.041,177.997,0.283
Come with Me,Puff Daddy,1998,90,47,0,0.047,0.549,0.847,0.00000466,0.19,-3.918,0.0462,164.147,0.765
Romeo and Juliet,Sylk-E. Fyne,1998,90,48,0,0.0939,0.84,0.338,0,0.0763,-9.885,0.438,76.082,0.848
It's All About Me,Mýa and Sisqo,1998,90,49,0,0.0129,0.796,0.419,0.336,0.0584,-10.984,0.0709,136.691,0.82
I Will Come to You,Hanson,1998,90,50,0,0.0884,0.437,0.723,0.0000391,0.113,-7.013,0.0471,139.765,0.344
One Week,Barenaked Ladies,1998,90,51,0,0.00854,0.702,0.898,0.000154,0.0917,-6.003,0.0373,112.845,0.731
Swing My Way,K. P. & Envyi,1998,90,52,0,0.119,0.769,0.636,0.0000059,0.0448,-7.168,0.0443,136.709,0.836
The Arms of the One Who Loves You,Xscape,1998,90,53,0,0.311,0.657,0.456,0,0.0922,-8.917,0.0345,115.4,0.182
My Love Is the Shhh!,Somethin' for the People,1998,90,54,0,0.297,0.779,0.715,0,0.157,-5.886,0.0368,126.036,0.621
Daydreamin',Tatyana Ali,1998,90,55,0,0.0886,0.882,0.57,0.00000654,0.0932,-7.565,0.0832,96.785,0.815
We're Not Making Love No More,Dru Hill,1998,90,56,0,0.915,0.6,0.18,0.81,0.066,-16.93,0.0487,60.013,0.468
Semi-Charmed Life,Third Eye Blind,1998,90,57,0,0.00832,0.64,0.864,0,0.123,-6.576,0.0314,102.026,0.701
I Do,Lisa Loeb,1998,90,58,0,0.334,0.732,0.723,0.0000934,0.194,-6.659,0.0307,110.173,0.731
Lookin' at Me,Mase,1998,90,59,0,0.028,0.743,0.516,0.0000189,0.273,-8.27,0.397,188.247,0.614
Looking Through Your Eyes,LeAnn Rimes,1998,90,60,0,0.618,0.487,0.271,0,0.16,-11.566,0.0283,80.126,0.194
Lately,Divine,1998,90,61,0,0.206,0.686,0.48,0.00000116,0.156,-9.592,0.0312,121.039,0.494
Quit Playing Games (With My Heart),Backstreet Boys,1998,90,62,0,0.0615,0.8,0.875,0.00000279,0.13,-4.952,0.0338,100.033,0.882
I Still Love You,Next,1998,90,63,0,0.506,0.578,0.447,0,0.308,-10.49,0.0682,170.775,0.783
Time After Time,INOJ,1998,90,64,0,0.223,0.776,0.563,0.00611,0.0681,-8.84,0.0324,131.728,0.395
Are You Jimmy Ray?,Jimmy Ray,1998,90,65,0,0.13,0.75,0.914,0.0000233,0.392,-5.707,0.0704,99.083,0.673
Cruel Summer,Ace of Base,1998,90,66,0,0.0129,0.721,0.842,0.00206,0.0734,-1.97,0.0278,109.968,0.88
I Got the Hook Up,Master P,1998,90,67,0,0.0128,0.596,0.575,0.00000367,0.349,-8.843,0.274,90.832,0.184
Victory,Puff Daddy,1998,90,68,0,0.224,0.609,0.731,0,0.664,-6.846,0.329,91.778,0.685
Too Much,Spice Girls,1998,90,69,0,0.484,0.333,0.631,0,0.332,-4.992,0.0461,80.14,0.342
Ghetto Supastar (That Is What You Are),Pras Michel,1998,90,70,0,0.0479,0.795,0.639,0.00000149,0.135,-8.805,0.23,100.027,0.588
How Deep Is Your Love,Dru Hill,1998,90,71,0,0.0473,0.729,0.434,0.0000123,0.314,-9.111,0.079,94.411,0.743
Friend of Mine,Kelly Price,1998,90,72,0,0.35,0.737,0.366,0,0.0707,-8.346,0.032,109.876,0.395
