songname,artistname,year,decade,position,win,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
I Love the Way You Love,Marv Johnson,1960,60,65,0,0.52,0.677,0.844,0,0.249,-8.666,0.06,134.724,0.927
It's Time to Cry,Paul Anka,1960,60,66,0,0.731,0.311,0.314,0,0.335,-12.81,0.0325,109.983,0.565
Tell Laura I Love Her,Ray Peterson,1960,60,67,0,0.758,0.508,0.475,0,0.132,-8.436,0.032,102.38,0.235
Mama,Connie Francis,1960,60,68,0,0.9,0.271,0.208,0.000107,0.334,-11.22,0.0314,87.551,0.112
Footsteps,Steve Lawrence,1960,60,69,0,0.419,0.641,0.468,0,0.317,-12.33,0.034,144.387,0.913
So Sad,The Everly Brothers,1960,60,70,0,0.646,0.545,0.197,0,0.291,-16.743,0.0285,102.229,0.338
That's All You Gotta Do,Brenda Lee,1960,60,71,0,0.43,0.405,0.57,0.00000509,0.238,-7.919,0.042,195.855,0.956
Walking to New Orleans,Fats Domino,1960,60,72,0,0.782,0.606,0.344,0,0.132,-9.944,0.0403,80.829,0.517
Among My Souvenirs,Connie Francis,1960,60,73,0,0.464,0.464,0.447,0.000029,0.165,-6.15,0.0266,109.081,0.466
Swingin' School,Bobby Rydell,1960,60,74,0,0.64,0.524,0.762,0.00000131,0.0956,-5.473,0.0329,150.56,0.969
A Rockin' Good Way (To Mess Around and Fall in Love),Dinah Washington & Brook Benton,1960,60,75,0,0.845,0.788,0.52,0.0000294,0.178,-10.837,0.0528,130.224,0.96
Stairway to Heaven,Neil Sedaka,1960,60,76,0,0.801,0.515,0.874,0,0.112,-4.408,0.0423,127.039,0.926
My Home Town,Paul Anka,1960,60,77,0,0.223,0.79,0.514,0,0.14,-10.743,0.0362,117.022,0.962
Georgia on My Mind,Ray Charles,1960,60,78,1,0.782,0.138,0.399,0.00000365,0.188,-8.756,0.0311,179.93,0.296
Cherry Pie,Skip and Flip,1960,60,79,0,0.629,0.499,0.254,0.00000681,0.0877,-16.861,0.0392,86.029,0.492
Wonderful World,Sam Cooke,1960,60,80,0,0.693,0.675,0.554,0,0.408,-8.388,0.031,128.529,0.887
Lady Luck,Lloyd Price,1960,60,82,0,0.639,0.62,0.591,0,0.251,-6.663,0.0336,122.802,0.769
Step by Step,The Crests,1960,60,83,0,0.752,0.421,0.507,0,0.244,-12.335,0.0921,200.357,0.928
Happy-Go-Lucky Me,Paul Evans,1960,60,84,0,0.819,0.718,0.543,0.0206,0.362,-11.016,0.0502,93.954,0.94
Young Emotions,Ricky Nelson,1960,60,85,0,0.567,0.416,0.227,0.0000292,0.156,-13.36,0.039,116.986,0.39
Dreamin',Johnny Burnette,1960,60,86,0,0.794,0.471,0.449,0.0000225,0.35,-9.845,0.0546,74.673,0.715
Poetry in Motion,Johnny Tillotson,1960,60,87,0,0.392,0.485,0.706,0,0.0991,-7.387,0.0319,135.255,0.912
O Dio Mio,Annette Funicello,1960,60,88,0,0.192,0.389,0.412,0.00000311,0.0936,-8.131,0.0304,115.882,0.363
